Year,Annual_Rate,Annual_Rate_Error,Cumulative_Value,Cumulative_Error,Lower_CI_95,Upper_CI_95
1970,3.728341873362369,2.56225356353312,3.728341873362369,2.56225356353312,-1.2936751111625457,8.750358857887283
1971,4.684033981784644,2.6491895565128663,8.41237585514701,5.166294237258806,-0.5083775489805733,9.87644551254986
1972,5.249051310819947,2.7550776070436465,13.66142716596695,7.85595081503871,-0.1509007989855995,10.649003420625494
1973,5.676021689516016,2.855021201072415,19.337448855482975,10.63577808239446,0.08018013541408298,11.27186324361795
1974,6.042780507090168,2.947632116367622,25.380229362573136,13.506726624775151,0.2654215590096287,11.820139455170708
1975,6.385089849938174,3.033652973435721,31.765319212511322,16.46588801423568,0.43913002200416074,12.331049677872187
1976,6.742458590511775,3.091223721222966,38.507777803023096,19.479587927043656,0.6836600969147613,12.801257084108787
1977,7.175333944841318,3.150896734403549,45.683111747864395,22.44141081193748,0.9995763454103619,13.351091544272276
1978,7.623019767855482,3.159596107732933,53.3061315157199,25.35825122638723,1.4302113966989332,13.81582813901203
1979,8.148231328370624,3.0675287915595852,61.45436284409048,28.111660141754832,2.135874896913837,14.160587759827411
1980,8.626951184045907,3.0438128180735307,70.08131402813646,30.840545309790176,2.6610780606217874,14.592824307470028
1981,9.381966803764687,3.6388123757541733,79.46328083190109,33.06080635302313,2.249894547286508,16.514039060242865
1982,9.891662270337493,3.676640697880978,89.35494310223864,35.4466084526604,2.6854465024907768,17.09787803818421
1983,10.36932598030205,3.7003341508298395,99.72426908254069,38.074921278269784,3.116671044675564,17.621980915928535
1984,10.880102513840804,3.7274204331595766,110.60437159638148,40.89762517787607,3.574358464848034,18.185846562833575
1985,11.441098940928894,3.7429305333971024,122.04547053731032,43.840254232425785,4.104955095470574,18.777242786387212
1986,12.011811046037359,3.7357321087643944,134.05728158334765,46.88406454167482,4.689776112859145,19.33384597921557
1987,12.61824059382795,3.7424577583141723,146.6755221771757,50.01341773449526,5.283023387532173,19.95345780012373
1988,13.26405316091105,3.7599862443757184,159.93957533808674,53.20655960687305,5.8944801219346425,20.63362619988746
1989,13.915692628836807,3.7684076099558625,173.8552679669235,56.47118510214992,6.529613713323316,21.301771544350295
1990,14.594765953623789,3.784999136722451,188.45003392054738,59.808694140462556,7.1761676456477845,22.013364261599794
1991,15.322975397087859,3.815072841108715,203.7730093176351,63.203020863368586,7.845432628514778,22.80051816566094
1992,16.078987503329504,3.8406431171504694,219.8519968209646,66.65226487044782,8.551326993714584,23.606648012944426
