introDate,nspec,cumn
1700-01-01,2,2
1711-01-01,1,3
1730-01-01,1,4
1792-01-01,1,5
1834-01-01,1,6
1835-01-01,2,8
1838-01-01,1,9
1852-01-01,1,10
1856-01-01,1,11
1858-01-01,2,13
1860-01-01,1,14
1864-01-01,1,15
1869-01-01,1,16
1870-01-01,1,17
1871-01-01,1,18
1873-01-01,1,19
1876-01-01,1,20
1880-01-01,2,22
1884-01-01,2,24
1885-01-01,1,25
1887-01-01,1,26
1890-01-01,1,27
1895-01-01,1,28
1899-01-01,1,29
1903-01-01,1,30
1905-01-01,1,31
1908-01-01,1,32
1909-01-01,1,33
1911-01-01,1,34
1919-01-01,2,36
1920-01-01,2,38
1924-01-01,3,41
1925-01-01,1,42
1927-01-01,3,45
1931-01-01,1,46
1933-01-01,2,48
1937-01-01,2,50
1938-01-01,1,51
1939-01-01,2,53
1940-01-01,1,54
1942-01-01,1,55
1945-01-01,3,58
1946-01-01,2,60
1948-01-01,1,61
1949-01-01,2,63
1950-01-01,4,67
1952-01-01,1,68
1953-01-01,4,72
1955-01-01,3,75
1956-01-01,3,78
1957-01-01,2,80
1959-01-01,2,82
1961-01-01,1,83
1964-01-01,2,85
1965-01-01,2,87
1966-01-01,6,93
1967-01-01,3,96
1968-01-01,2,98
1969-01-01,2,100
1970-01-01,1,101
1971-01-01,2,103
1972-01-01,2,105
1973-01-01,4,109
1974-01-01,5,114
1975-01-01,8,122
1976-01-01,1,123
1977-01-01,6,129
1978-01-01,3,132
1979-01-01,5,137
1980-01-01,4,141
1981-01-01,7,148
1982-01-01,6,154
1983-01-01,5,159
1984-01-01,11,170
1985-01-01,7,177
1986-01-01,11,188
1987-01-01,5,193
1988-01-01,8,201
1989-01-01,6,207
1990-01-01,7,214
1991-01-01,7,221
1992-01-01,6,227
1993-01-01,7,234
1994-01-01,9,243
1995-01-01,4,247
1996-01-01,14,261
1997-01-01,16,277
1998-01-01,15,292
1999-01-01,21,313
2000-01-01,18,331
2001-01-01,21,352
2002-01-01,11,363
2003-01-01,17,380
2004-01-01,19,399
2005-01-01,18,417
2006-01-01,20,437
2007-01-01,25,462
2008-01-01,50,512
2009-01-01,59,571
2010-01-01,43,614
2011-01-01,68,682
2012-01-01,50,732
2013-01-01,43,775
2014-01-01,50,825
2015-01-01,57,882
2016-01-01,48,930
2017-01-01,59,989
2018-01-01,51,1040
2019-01-01,64,1104
2020-01-01,71,1175
2021-01-01,90,1265
2022-01-01,54,1319
2023-01-01,44,1363
2024-01-01,2,1365
2025-01-01,6,1371
