Year,Annual_Rate,Annual_Rate_Error,Cumulative_Value,Cumulative_Error,Lower_CI_95,Upper_CI_95
1970,5.409873842700824,3.902141430844553,5.409873842700824,3.902141430844553,-2.2383233617544995,13.058071047156147
1971,6.42137696317506,4.002247112945906,11.831250805875877,7.849859896584502,-1.4230273781989151,14.265781304549035
1972,7.1022194768396965,4.123849194672844,18.933470282715582,11.88387700445302,-0.9805249447190771,15.18496389839847
1973,7.673334430008643,4.260923136326469,26.606804712724216,16.03225579218226,-0.6780749171912372,16.02474377720852
1974,8.204960234401469,4.391007170000108,34.81176494712569,20.294881144318165,-0.40141381879874416,16.81133428760168
1975,8.812503717587303,4.505661263620494,43.62426866471298,24.55323738559403,-0.018592359108865253,17.64359979428347
1976,9.41970486254202,4.600317686110099,53.04397352725503,28.842402180124914,0.403082197766226,18.436327527317815
1977,10.245082993675029,4.59733851341544,63.28905652093008,32.793674825586876,1.2342995073807668,19.255866479969292
1978,10.965020514668877,4.678831010525283,74.25407703559893,36.66505695908411,1.7945117340393235,20.135529295298433
1979,11.619100169195967,4.674453001953277,85.87317720479491,40.59780025436279,2.457172285367543,20.781028053024393
1980,12.627792665121522,5.356493637964017,98.50096986991635,44.12124428741461,2.1290651347120484,23.126520195530993
1981,13.467037520686185,5.862452500796005,111.9680073906026,47.69448404691105,1.9766306191260163,24.957444422246354
1982,14.161749850186911,5.795914630582114,126.12975724078947,51.53471389141446,2.8017571742459673,25.521742526127856
1983,14.966195762537364,5.588093773469554,141.09595300332683,55.33943478778674,4.0135319665370375,25.91885955853769
1984,15.749820274951132,5.69859438630365,156.84577327827802,59.20568415393125,4.580575277795978,26.919065272106288
1985,16.50878545701623,5.588764970628351,173.3545587352942,63.20584188125052,5.554806114584663,27.462764799447797
1986,17.30113642649466,5.550522481810514,190.655695161789,67.32916055861654,6.422112362146054,28.18016049084327
1987,18.13682020322064,5.65791173811271,208.79251536500956,71.57208386137145,7.047313196519729,29.22632720992155
1988,18.927267753307202,5.669534937692605,227.71978311831677,76.01193244288004,7.814979275429696,30.039556231184708
1989,19.75130346531988,5.676308004421895,247.47108658363663,80.6132866245902,8.625739776652964,30.876867153986794
1990,20.61404597484945,5.680786159569882,268.08513255848607,85.34368902272433,9.479705102092481,31.74838684760642
1991,21.525690270864928,5.679548137555324,289.61082282935104,90.16791437104271,10.393775921256493,32.657604620473364
1992,22.520126548464205,5.6985552868718665,312.13094937781506,95.01817385393572,11.350958186195347,33.68929491073306
1993,23.51741571423406,5.713786244192105,335.64836509204923,99.93810082881669,12.318394675617533,34.71643675285058
1994,24.55180070688989,5.714176462907949,360.2001657989391,104.91861356557196,13.35201483959031,35.75158657418947
1995,25.635870164736954,5.709064324522113,385.8360359636762,109.93926065879457,14.446104088673613,36.82563624080029
1996,26.769616726060743,5.704961006074638,412.605652689737,114.98811295910893,15.587893154154454,37.951340297967036
1997,27.957343247475627,5.698589888071732,440.56299593721275,120.05061079800716,16.788107066855034,39.12657942809622
1998,29.202289042551744,5.688919749921255,469.76528497976403,125.11160935723134,18.052006332706085,40.3525717523974
1999,30.5075140219408,5.675862509235217,500.2727990017052,130.15597060224403,19.382823503839774,41.632204540041826
2000,31.876444949619696,5.659572507394444,532.1492439513244,135.16836751583728,20.783682835126587,42.96920706411281
2001,33.31294437065403,5.6403799690259016,565.4621883219787,140.13313793773625,22.257799631363262,44.3680891099448
2002,34.82126242166387,5.618690802075385,600.283450743643,145.03414085522155,23.808628449596114,45.83389639373162
2003,36.40582988454273,5.595059234617024,636.6892806281857,149.8545784922242,25.439513784693368,47.3721459843921
2004,38.07099519416358,5.570543959390414,674.7602758223495,154.5768038343254,27.15272903375837,48.98926135456879
2005,39.820909208542105,5.547122348832501,714.5811850308914,159.18218167620583,28.948549404830402,50.69326901225381
2006,41.659654185799965,5.527892154553148,756.2408392166909,163.65105309214704,30.824985562875796,52.494322808724135
2007,43.59150132062262,5.517136226346526,799.8323405373133,167.96279948378097,32.77791431698343,54.40508832426181
2008,45.62111576193596,5.520472665303646,845.4534562992486,172.09598146567274,34.80098933794082,56.4412421859311
2009,47.753635389517065,5.545117778068915,893.2070916887662,176.02854711791275,36.88520454450199,58.62206623453214
2010,49.99466161503529,5.600129644469394,943.2017533038022,179.7381305150001,39.01840751187528,60.9709157181953
2011,52.350226469340235,5.696504806823121,995.5519797731428,183.20247922110698,41.185077047966914,63.51537589071356
