Year,Effective Rate (Mean),CI Lower (2.5%),CI Upper (97.5%),Std Dev
1970,33.88359287812258,26.067821368987293,40.40209782032998,4.200173123524465
1971,33.88356070025063,26.067800793692715,40.40206228952527,4.200166482809545
1972,33.883528522441864,26.067780218430617,40.40202675878306,4.2001598421207795
1973,33.8834963446963,26.067759643200993,40.40199122810334,4.20015320145817
1974,33.883464167013905,26.067739068003853,40.40195569748612,4.200146560821718
1975,33.883431989394715,26.067718492839198,40.401920166931404,4.200139920211421
1976,33.8833998118387,26.06769791770702,40.40188463643918,4.200133279627279
1977,33.883367634345866,26.067677342607322,40.401849106009436,4.200126639069294
1978,33.883335456916235,26.0676567675401,40.4018135756422,4.200119998537463
1979,33.88330327954978,26.067636192505365,40.40177804533746,4.200113358031788
1980,33.88327110224652,26.067615617503105,40.401742515095215,4.200106717552268
1981,33.88323892500644,26.06759504253333,40.40170698491545,4.200100077098901
1982,33.88320674782955,26.067574467596028,40.4016714547982,4.2000934366716915
1983,33.88317457071583,26.06755389269121,40.401635924743424,4.200086796270636
1984,33.88314239366531,26.06753331781887,40.40160039475116,4.200080155895734
1985,33.88311021667798,26.067512742979012,40.40156486482139,4.200073515546988
1986,33.88307803975382,26.067492168171633,40.4015293349541,4.200066875224395
1987,33.88304586289285,26.06747159339673,40.401493805149315,4.200060234927956
1988,33.88301368609506,26.067451018654307,40.401458275407016,4.200053594657672
1989,33.88298150936046,26.067430443944367,40.40142274572721,4.2000469544135415
1990,33.88294933268905,26.067409869266903,40.4013872161099,4.200040314195565
1991,33.882917156080815,26.067389294621922,40.40135168655508,4.200033674003741
1992,33.88288497953577,26.067368720009416,40.40131615706276,4.200027033838071
1993,33.88285280305391,26.06734814542939,40.401280627632936,4.200020393698556
1994,33.88282062663522,26.067327570881844,40.40124509826559,4.200013753585192
1995,33.882788450279726,26.067306996366778,40.40120956896075,4.200007113497982
1996,33.88275627398742,26.06728642188418,40.40117403971839,4.2000004734369245
1997,33.882724097758285,26.067265847434076,40.40113851053853,4.1999938334020195
1998,33.88269192159234,26.067245273016443,40.401102981421154,4.199987193393269
1999,33.88265974548957,26.06722469863129,40.40106745236628,4.199980553410669
2000,33.88262756944998,26.067204124278618,40.40103192337389,4.1999739134542216
2001,33.882595393473586,26.067183549958415,40.400996394443986,4.199967273523928
2002,33.88256321756037,26.067162975670698,40.40096086557659,4.199960633619786
2003,33.88253104171033,26.06714240141546,40.40092533677168,4.1999539937417945
2004,33.88249886592347,26.067121827192697,40.400889808029255,4.199947353889956
2005,33.88246669019979,26.067101253002416,40.40085427934932,4.19994071406427
2006,33.8824345145393,26.067080678844604,40.40081875073188,4.199934074264734
2007,33.882402338941986,26.067060104719275,40.400783222176926,4.19992743449135
2008,33.88237016340785,26.067039530626428,40.400747693684465,4.199920794744117
2009,33.8823379879369,26.067018956566056,40.40071216525449,4.199914155023036
2010,33.88230581252913,26.066998382538152,40.400676636887006,4.199907515328105
2011,33.88227363718454,26.066977808542738,40.40064110858202,4.199900875659326
2012,33.88224146190313,26.066957234579796,40.40060558033952,4.199894236016697
2013,33.8822092866849,26.066936660649336,40.4005700521595,4.199887596400219
2014,33.88217711152984,26.066916086751355,40.40053452404198,4.199880956809892
2015,33.882144936437975,26.06689551288584,40.400498995986936,4.1998743172457145
2016,33.88211276140928,26.06687493905281,40.40046346799439,4.1998676777076875
2017,33.88208058644376,26.066854365252258,40.40042794006433,4.199861038195811
2018,33.882048411541426,26.066833791484182,40.400392412196766,4.199854398710085
2019,33.88201623670227,26.06681321774858,40.400356884391684,4.199847759250508
2020,33.88198406192629,26.066792644045453,40.4003213566491,4.199841119817081
2021,33.88195188721349,26.06677207037481,40.40028582896899,4.199834480409803
2022,33.88191971256387,26.066751496736643,40.40025030135137,4.199827841028673
2023,33.88188753797742,26.06673092313095,40.40021477379624,4.1998212016736955
2024,33.88185536345416,26.066710349557727,40.4001792463036,4.199814562344865
2025,33.88182318899407,26.06668977601699,40.400143718873444,4.199807923042185
