Year,Annual_Rate,Annual_Rate_Error,Cumulative_Value,Cumulative_Error,Lower_CI_95,Upper_CI_95
1970,4.711761536849162,3.6255741275150393,4.711761536849162,3.6255741275150393,-2.394363753080315,11.817886826778638
1971,5.735631248382401,3.7637755571747813,10.447392785231566,7.334303919677242,-1.641368843680171,13.112631340444972
1972,6.432685050965823,3.887049264926151,16.880077836197376,11.128756229911042,-1.1859315082894328,14.051301610221078
1973,7.020066068779446,4.017596493295566,23.90014390497684,15.021466787873628,-0.8544230580798642,14.894555195638755
1974,7.539138478741254,4.160356918243574,31.43928238371809,19.041279637174586,-0.6151610810161507,15.693438038498659
1975,8.027279548851492,4.307322796618309,39.46656193256959,23.199363452816645,-0.41507313252039424,16.46963223022338
1976,8.54960168180847,4.413708074119844,48.016163614378065,27.4339771307753,-0.10126614346642526,17.200469507083366
1977,9.50635181738987,5.212888653241027,57.52251543176791,31.21966783307563,-0.7109099429625427,19.723613577742285
1978,10.269043770637845,5.337675428555957,67.79155920240576,35.06189545010908,-0.19280006933183103,20.73088761060752
1979,10.941392672018091,5.486763376755678,78.73295187442382,39.100007117156665,0.18733645357696282,21.695448890459218
1980,11.606712060436596,5.491985434931938,90.33966393486051,43.32807909168743,0.8424206079699967,22.371003512903194
1981,12.206490268048722,5.542773889109637,102.54615420290912,47.82766432397775,1.3426534453938324,23.07032709070361
1982,12.941051194720231,5.668358137905559,115.48720539762944,52.44738525082354,1.8310692444253345,24.051033145015126
1983,14.056641925481847,6.208568891566735,129.54384732311138,56.662753978953006,1.8878468980110465,26.22543695295265
1984,14.922945739963737,6.472579200212476,144.466793063075,60.92299315551141,2.2366905075472854,27.609200972380187
1985,15.824915951537635,6.505356368454274,160.29170901461268,65.23720806700712,3.0744174693672583,28.575414433708012
1986,16.563086900046137,6.552448652740877,176.85479591465875,69.86756950432601,3.7202875406740183,29.405886259418256
1987,17.325369905921406,6.572795556411852,194.1801658205801,74.7929242202973,4.442690615354175,30.208049196488638
1988,18.200145136422652,6.578556161753708,212.38031095700305,79.86369221025393,5.306175059385385,31.09411521345992
1989,19.111338371037373,6.722794559855909,231.49164932804027,85.02316848007233,5.934661033719792,32.288015708354955
1990,19.957676627632353,6.7305706738364774,251.44932595567246,90.39170896287135,6.765758106912857,33.14959514835185
1991,20.84932595612094,6.731729156182316,272.2986519117935,95.92758112003852,7.655136810003601,34.043515102238274
1992,21.798290680515738,6.736372782803162,294.09694259230923,101.59067636670875,8.59500002622154,35.001581334809934
1993,22.776041001692178,6.731788432335863,316.8729835940014,107.3603241231918,9.581735674313887,35.970346329070466
1994,23.800310586093406,6.72142023102956,340.6732941800949,113.21090753936656,10.626326933275468,36.97429423891134
1995,24.876380856146856,6.706783880226839,365.54967503624147,119.11871269407085,11.731084450902252,38.02167726139146
1996,26.007233598713423,6.687819409282647,391.5569086349551,125.06246060779452,12.899107556519436,39.115359640907414
1997,27.19469182885429,6.662742247371321,418.75160046380944,131.02058416255088,14.1357170240065,40.25366663370208
1998,28.442219653208653,6.631896210282069,447.1938201170179,136.9731288135347,15.443703081055798,41.440736225361505
1999,29.75339529770926,6.595637649371896,476.9472154147274,142.90126054392815,16.825945504940346,42.68084509047817
2000,31.131675710124174,6.554015948903599,508.0788911248513,148.78638429512668,18.28580445027312,43.97754696997523
2001,32.58076614581945,6.50725741768778,540.6596572706709,154.6098223228318,19.826541607151405,45.3349906844875
2002,34.1045585726894,6.455901684345145,574.7642158433608,160.35262014200816,21.450991271372914,46.758125874005884
2003,35.70713683465646,6.400909501396756,610.4713526780167,165.9954054861894,23.16135421191882,48.2529194573941
2004,37.39281070028399,6.343773948656809,647.8641633783008,171.5182694978329,24.95901376091664,49.826607639651336
2005,39.16612471574426,6.286678527216106,687.0302880940451,176.90069417733494,26.844234802400692,51.48801462908783
2006,41.0318631380649,6.232685041658463,728.0621512321101,182.1215308815314,28.815800456414312,53.24792581971549
2007,42.995050428532956,6.185944866111303,771.057201660642,187.15903670985566,30.870598490954805,55.11950236611111
2008,45.060946447562536,6.151919964764758,816.1181481082049,191.99097826023223,33.00318331662361,57.11870957850146
2009,47.23503884002229,6.137593113379486,863.3531869482274,196.59481390544744,35.2053563377985,59.264721342246084
2010,49.52304485519715,6.151649889678589,912.8762318034246,200.94796572516026,37.46581107142711,61.58027863896719
2011,51.93095597502214,6.204636112681209,964.8071877784471,205.02819086726348,39.769869194166965,64.0920427558773
2012,54.46518957901001,6.309104468804517,1019.272377357457,208.8140636987211,42.099344820153156,66.83103433786687
2013,57.13291939155399,6.4796452038761885,1076.4052967490113,212.2855966977484,44.43281479195666,69.83302399115132
2014,59.9425487076682,6.732382437402863,1136.3478454566791,215.42507901899629,46.74707913035859,73.13801828497782
2015,62.90399859839321,7.083557046555543,1199.2518440550732,218.2183119305114,49.020226787144345,76.78777040964208
2016,66.02827277806898,7.548025454219495,1265.2801168331416,220.65654827252487,51.23414288779877,80.8224026683392
2017,69.32625835109455,8.139151018250029,1334.6063751842357,222.73948011393287,53.373522355324496,85.27899434686461
2018,72.80774952208776,8.869230477982128,1407.4141247063237,224.47940101312636,55.42405778524279,90.19144125893274
2019,76.48168805725159,9.74877492407202,1483.8958127635756,225.90635528330344,57.37408920607043,95.58928690843274
2020,80.35727979047955,10.786049033223916,1564.2530925540539,227.0741627030681,59.21662368536067,101.49793589559843
2021,84.4449143957193,11.988332610873242,1648.6980069497738,228.06764281954815,60.947782478407746,107.94204631303084
2022,88.75642974689576,13.363700371518354,1737.4544366966702,229.0115587733331,62.56357701871979,114.94928247507173
2023,93.30496907745983,14.922017352476265,1830.7594057741298,230.0815130577528,64.05781506660635,122.55212308831331
2024,98.10477420906074,16.67518334609111,1928.8641799831896,231.51643622112226,65.42141485072216,130.7881335673993
